year,state,corridor,county,fatalities,truck_involved,truck_tractor_involved,land_use,roadway,latitude,longitude
2023,SC,I-95,COLLETON (29),1,False,False,Rural,I-95,32.77490278,-80.798697220
2023,SC,I-26,SPARTANBURG (83),1,True,True,Rural,I-26,34.61638056,-81.900533330
2023,SC,I-26,ORANGEBURG (75),1,False,False,Rural,I-26,33.43323333,-80.696297220
2023,SC,I-26,NEWBERRY (71),1,False,False,Rural,I-26,34.23734722,-81.456100000
2023,SC,I-95,DILLON (33),1,True,True,Urban,I-95,34.44055278,-79.376508330
2023,SC,I-26,BERKELEY (15),1,False,False,Rural,I-26,33.12536667,-80.285911110
2023,SC,I-95,COLLETON (29),1,False,False,Urban,I-95,32.91111944,-80.700038890
2023,SC,I-95,COLLETON (29),1,False,False,Rural,I-95,32.75160833,-80.828027780
2023,SC,I-26,SPARTANBURG (83),2,False,False,Rural,I-26,35.19307222,-82.166855560
2023,SC,I-95,COLLETON (29),1,False,False,Rural,I-95,32.78281111,-80.788005560
2023,SC,I-26,SPARTANBURG (83),1,False,False,Urban,I-26,34.98016389,-82.014305560
2023,SC,I-26,SPARTANBURG (83),1,False,False,Rural,I-26,35.12475556,-82.094450000
2023,SC,I-95,COLLETON (29),1,False,False,Urban,I-95,32.93444444,-80.687477780
2023,SC,I-95,CLARENDON (27),2,True,True,Rural,I-95,33.57913333,-80.371550000
2023,SC,I-95,ORANGEBURG (75),1,False,False,Rural,I-95,33.34410278,-80.533244440
2023,SC,I-95,FLORENCE (41),1,True,True,Rural,I-95,34.14651944,-79.876363890
2023,SC,I-26,LEXINGTON (63),1,False,False,Urban,I-26,33.97388056,-81.103586110
2023,SC,I-95,HAMPTON (49),1,False,False,Rural,I-95,32.71846944,-80.858783330
2023,SC,I-26,CHARLESTON (19),1,False,False,Urban,I-26,32.79885000,-79.943980560
2023,SC,I-26,ORANGEBURG (75),1,False,False,Rural,I-26,33.44630278,-80.714827780
2023,SC,I-26,CALHOUN (17),1,False,False,Rural,I-26,33.72691944,-80.929600000
2023,SC,I-26,SPARTANBURG (83),1,True,False,Urban,I-26,34.89900000,-81.992088890
2023,SC,I-26,DORCHESTER (35),1,True,True,Rural,I-26,33.19308056,-80.391980560
2023,SC,I-95,DILLON (33),1,True,True,Rural,I-95,34.38914167,-79.463288890
2023,SC,I-95,ORANGEBURG (75),1,False,False,Rural,I-95,33.36266944,-80.526450000
2023,SC,I-95,DARLINGTON (31),1,True,True,Urban,I-95,34.26141389,-79.747555560
2023,SC,I-95,DILLON (33),1,False,False,Rural,I-95,34.33524722,-79.555272220
2023,SC,I-95,JASPER (53),1,False,False,Rural,I-95,32.41106111,-81.013661110
2023,SC,I-26,LEXINGTON (63),1,False,False,Urban,I-26 EXIT RAMP,33.98038889,-81.106388890
2023,SC,I-26,ORANGEBURG (75),1,True,True,Rural,I-26,33.33536389,-80.565188890
2023,SC,I-26,CHARLESTON (19),1,False,False,Urban,I-26,32.92561111,-80.042030560
2023,SC,I-26,CHARLESTON (19),1,False,False,Urban,I-26 EXIT RAMP,32.92593889,-80.042061110
2023,SC,I-26,CHARLESTON (19),1,False,False,Urban,I-26,32.87538889,-80.014280560
